Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1962","1962","kg/ha","9275.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1962","1962","t","128000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1963","1963","kg/ha","9069.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1963","1963","t","117900","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1964","1964","kg/ha","9073.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1964","1964","t","136100","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1965","1965","kg/ha","9284.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1965","1965","t","172700","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1966","1966","kg/ha","9023.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1966","1966","t","153400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1967","1967","kg/ha","8821.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1967","1967","t","167600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1968","1968","kg/ha","9356.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1968","1968","t","189000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1969","1969","kg/ha","10960.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1969","1969","t","230643","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1970","1970","kg/ha","10517.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1970","1970","t","178800","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1971","1971","kg/ha","11316.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1971","1971","t","228600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1972","1972","kg/ha","11044.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1972","1972","t","253700","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1973","1973","kg/ha","10356.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1973","1973","t","241300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1974","1974","kg/ha","10171.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1974","1974","t","238815","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1975","1975","kg/ha","10455.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1975","1975","t","289483","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1976","1976","kg/ha","11221.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1976","1976","t","320728","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1977","1977","kg/ha","12345.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1977","1977","t","317989","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1978","1978","kg/ha","9854.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1978","1978","t","293511","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1979","1979","kg/ha","10408.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1979","1979","t","392400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1980","1980","kg/ha","10454.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1980","1980","t","448500","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1981","1981","kg/ha","10376.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1981","1981","t","394300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1982","1982","kg/ha","10529.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1982","1982","t","476599","A","Official figure",""
